Posición en el ranking,Nombre,Expectativa de vida,Origen,¿Hipoalergénico?,Peso aproximado,foto
1,Exótico de pelo corto,12-15 años,Estados Unidos,No,6.3 kg,"http://www.catbreedslist.com/uploads/allimg/cat-pictures/Exotic-Shorthair-1.jpg"
2,Persian,14-15 años,Irán,No,6.3 kg
3,Maine Coon,12-15 años,Estados Unidos,No,8 kg
4,Ragdoll,12-17 años,Estados Unidos,No,9 kg
5,Británico de pelo corto,12-17 años,Reino Unido,No,9 kg
6,Americano de pelo corto,15-17 años,Estados Unidos,No ,6.8 kg
7,Abyssinian,14-15 años,Egipto,No,4.5 kg
8,Sphynx,12-14 años,Canadá,Si,5.4 kg
9,Siamese,12-15 años,Tailandia,No,6.8 kg
10,Scottish Fold,11-14 años,Reino Unido,No,4.9 kg
